eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;2.9185;72.9624;72.9624;
comp 2;0.914;22.8508;95.8132;
comp 3;0.1468;3.6689;99.4821;
comp 4;0.0207;0.5179;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;
Sepal.Length;0.8902;0.3608;-0.2757;-0.0376;
Sepal.Width;-0.4601;0.8827;0.0936;0.0178;
Petal.Length;0.9916;0.0234;0.0544;0.1153;
Petal.Width;0.965;0.064;0.243;-0.0754;

cor
   ;Dim.1;Dim.2;Dim.3;Dim.4;
Sepal.Length;0.8902;0.3608;-0.2757;-0.0376;
Sepal.Width;-0.4601;0.8827;0.0936;0.0178;
Petal.Length;0.9916;0.0234;0.0544;0.1153;
Petal.Width;0.965;0.064;0.243;-0.0754;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;
Sepal.Length;0.7924;0.1302;0.076;0.0014;
Sepal.Width;0.2117;0.7792;0.0088;3e-04;
Petal.Length;0.9832;5e-04;0.003;0.0133;
Petal.Width;0.9312;0.0041;0.059;0.0057;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;
Sepal.Length;27.151;14.2444;51.7776;6.8271;
Sepal.Width;7.2548;85.2475;5.9722;1.5255;
Petal.Length;33.6879;0.06;2.02;64.2321;
Petal.Width;31.9063;0.4481;40.2302;27.4154;

ind
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;
1;-2.2647;0.48;-0.1277;-0.0242;
2;-2.081;-0.6741;-0.2346;-0.103;
3;-2.3642;-0.3419;0.0442;-0.0284;
4;-2.2994;-0.5974;0.0913;0.066;
5;-2.3898;0.6468;0.0157;0.0359;
6;-2.0756;1.4892;0.027;-0.0066;
7;-2.444;0.0476;0.3355;0.0368;
8;-2.2328;0.2231;-0.0887;0.0246;
9;-2.3346;-1.1153;0.1451;0.0269;
10;-2.1843;-0.469;-0.2538;0.0399;
11;-2.1663;1.0437;-0.2687;-0.0167;
12;-2.3261;0.1331;0.0938;0.1335;
13;-2.2185;-0.7287;-0.2309;-0.0024;
14;-2.6331;-0.9615;0.1808;0.0192;
15;-2.1987;1.8601;-0.4729;-0.1947;
16;-2.2622;2.6863;0.0305;-0.0505;
17;-2.2076;1.4836;-0.0053;-0.1888;
18;-2.1903;0.4888;-0.0442;-0.0931;
19;-1.8986;1.405;-0.3743;-0.0611;
20;-2.3434;1.1278;0.1326;0.0378;
21;-1.9143;0.4089;-0.4213;-0.0109;
22;-2.207;0.9241;0.1599;-0.0596;
23;-2.7743;0.4583;0.3322;-0.0196;
24;-1.8187;0.0856;0.0345;-0.1511;
25;-2.2272;0.1373;0.118;0.2701;
26;-1.9518;-0.6256;-0.3056;-0.0436;
27;-2.0512;0.2422;0.0864;-0.0677;
28;-2.1686;0.5271;-0.2068;-0.0103;
29;-2.1396;0.3132;-0.2712;-0.0843;
30;-2.2653;-0.3377;0.0684;0.1083;
31;-2.1401;-0.5045;-0.075;0.0482;
32;-1.8316;0.4237;-0.2705;-0.2399;
33;-2.6149;1.7936;0.0472;0.2292;
34;-2.4462;2.1507;-0.0827;0.0482;
35;-2.11;-0.4602;-0.1703;-0.029;
36;-2.2078;-0.2061;-0.2254;-0.1689;
37;-2.0451;0.6616;-0.4845;-0.1964;
38;-2.5273;0.5923;0.0194;0.1365;
39;-2.4296;-0.9042;0.1933;0.0097;
40;-2.1697;0.2689;-0.1759;-0.007;
41;-2.2865;0.4417;0.0349;-0.107;
42;-1.8581;-2.3374;-0.2042;-0.2899;
43;-2.5536;-0.4791;0.3058;0.0666;
44;-1.9644;0.4723;0.3096;-0.1771;
45;-2.1371;1.1422;0.2484;0.151;
46;-2.0697;-0.7111;-0.0639;-0.1403;
